State,Period,Population (thousands),Labor Force (thousands),Labor Force Participation Rate (LFPR) (%),LFPR compared to pre-pandemic levels (%),Employment (thousands),Unemployment (thousands),Unemployment compared to pre-pandemic levels (%),Unemployment Rate (%),Job Openings (thousands),Job Openings compared to pre-pandemic levels (%),Labor Shortage or Surplus (thousands),Available Worker Ratio,Quits (thousands),Quit Rate (%),Hires (thousands),Hire Rate (%)
North Dakota,6/1/2022,599,413,68.8,-0.5,404,8,-7.5,2.0,32,39.1,-24,0.26,11,2.6,21,4.9
Ohio,6/1/2022,9346,5771,61.7,-1.8,5543,227,-15.0,3.9,435,68.0,-208,0.52,138,2.5,243,4.4
Oklahoma,6/1/2022,3089,1900,61.5,0.7,1843,57,-1.3,3.0,131,67.9,-74,0.44,59,3.5,88,5.2
Oregon,6/1/2022,3462,2163,62.5,1.5,2079,84,12.7,3.9,132,17.9,-48,0.64,55,2.8,83,4.3
Pennsylvania,6/1/2022,10503,6491,61.8,-1.0,6219,272,-9.7,4.2,456,77.4,-184,0.60,120,2.0,204,3.4
Rhode Island,6/1/2022,904,578,63.9,-0.3,559,19,-11.1,3.2,41,78.3,-22,0.45,13,2.6,24,4.8
South Carolina,6/1/2022,4195,2420,57.7,-0.2,2344,76,12.1,3.2,182,75.0,-106,0.42,75,3.3,105,4.7
South Dakota,6/1/2022,693,474,68.4,-0.8,465,9,-22.0,1.9,33,57.1,-24,0.27,11,2.4,22,4.9
Tennessee,6/1/2022,5591,3391,60.7,-0.8,3279,112,-2.6,3.3,258,57.3,-146,0.44,118,3.6,173,5.3
Texas,6/1/2022,23019,14773,64.2,0.3,14209,564,12.5,3.8,1056,99.6,-492,0.53,405,3.0,623,4.6
Utah,6/1/2022,2534,1745,68.9,0.6,1704,41,0.7,2.3,114,50.0,-73,0.36,45,2.7,71,4.2
Vermont,6/1/2022,541,342,63.2,-2.6,335,8,2.3,2.3,24,50.0,-16,0.33,8,2.6,12,4.0
Virginia,6/1/2022,6829,4422,64.8,-0.9,4309,113,-11.5,2.6,323,51.6,-210,0.35,108,2.7,161,4.0
Washington,6/1/2022,6212,3976,64.0,-1.4,3818,158,5.6,4.0,211,27.9,-53,0.75,88,2.5,125,3.6
West Virginia,6/1/2022,1432,782,54.6,-0.4,751,31,-26.9,3.9,59,34.1,-28,0.52,29,4.2,34,4.9
Wisconsin,6/1/2022,4736,3087,65.2,-0.9,3000,87,-9.0,2.8,221,48.3,-134,0.39,73,2.5,112,3.8
Wyoming,6/1/2022,456,292,64.0,-1.8,282,10,-27.3,3.4,24,41.2,-14,0.42,9,3.2,16,5.6
Alabama,5/1/2022,4013,2280,56.8,-0.4,2221,58,-21.3,2.6,160,61.6,-102,0.36,61,2.9,87,4.1
Alaska,5/1/2022,546,354,64.9,0.4,339,15,-18.0,4.4,32,39.1,-17,0.48,13,4.1,21,6.6
Arizona,5/1/2022,5822,3585,61.6,-0.4,3452,133,-21.2,3.7,244,53.5,-111,0.54,110,3.5,150,4.8
Arkansas,5/1/2022,2373,1363,57.4,-0.5,1319,43,-9.7,3.2,103,77.6,-60,0.42,39,3.1,63,4.9
California,5/1/2022,31183,19260,61.8,-1.3,18465,795,-7.6,4.1,1379,77.7,-584,0.58,479,2.7,659,3.7
Colorado,5/1/2022,4665,3183,68.2,-0.4,3087,96,-3.7,3.0,239,92.7,-143,0.40,85,3.0,137,4.8
Connecticut,5/1/2022,2943,1936,65.8,-0.5,1855,80,7.8,4.1,117,67.1,-37,0.69,36,2.2,61,3.7
Delaware,5/1/2022,820,501,61.1,0.0,480,21,21.8,4.2,36,63.6,-15,0.58,15,3.2,22,4.7
District of Columbia,5/1/2022,554,396,71.5,0.0,377,18,-20.1,4.6,45,36.4,-27,0.41,16,2.1,26,3.4
Florida,5/1/2022,18160,10679,58.8,-0.5,10359,320,3.3,3.0,669,64.0,-349,0.48,346,3.7,444,4.7
Georgia,5/1/2022,8508,5270,61.9,-1.0,5110,160,-15.4,3.0,404,78.0,-244,0.40,193,4.0,275,5.7
Hawaii,5/1/2022,1128,676,59.9,-1.4,654,22,48.2,3.3,41,57.7,-19,0.54,15,2.4,22,3.6
Idaho,5/1/2022,1495,950,63.6,-0.6,924,26,2.7,2.8,69,72.5,-43,0.38,26,3.2,44,5.3
Illinois,5/1/2022,10076,6493,64.4,0.3,6197,296,19.5,4.6,425,62.8,-129,0.70,145,2.4,259,4.3
Indiana,5/1/2022,5348,3393,63.4,-0.7,3292,101,-13.4,3.0,210,40.9,-109,0.48,92,2.9,133,4.2
Iowa,5/1/2022,2512,1699,67.7,-1.5,1654,45,-2.6,2.6,112,51.4,-67,0.40,43,2.7,61,3.9
Kansas,5/1/2022,2261,1511,66.8,-0.3,1470,41,-12.8,2.7,100,42.9,-59,0.41,36,2.6,50,3.5
Kentucky,5/1/2022,3535,2050,58.0,-0.6,1969,82,-4.2,4.0,164,86.4,-82,0.50,65,3.3,93,4.8
Louisiana,5/1/2022,3563,2077,58.3,0.3,2000,76,-21.6,3.7,161,64.3,-85,0.47,60,3.1,93,4.8
Maine,5/1/2022,1153,685,59.4,-2.6,666,19,-14.7,2.8,48,50.0,-29,0.39,15,2.4,25,3.9
Maryland,5/1/2022,4904,3179,64.8,-4.5,3081,98,-15.3,3.1,212,40.4,-114,0.46,72,2.6,110,4.0
Massachusetts,5/1/2022,5784,3787,65.5,-0.8,3650,137,16.4,3.6,341,83.3,-204,0.40,73,2.0,126,3.4
Michigan,5/1/2022,8077,4864,60.2,-1.1,4662,201,8.4,4.1,360,70.6,-159,0.56,119,2.7,161,3.7
Minnesota,5/1/2022,4516,3067,67.9,-2.1,2999,68,-38.6,2.2,226,88.3,-158,0.30,70,2.4,98,3.3
Mississippi,5/1/2022,2286,1265,55.3,-0.7,1218,47,-35.6,3.7,87,61.1,-40,0.54,39,3.4,53,4.6
Missouri,5/1/2022,4868,3045,62.5,-1.5,2973,72,-31.7,2.4,231,84.8,-159,0.31,76,2.6,114,3.9
Montana,5/1/2022,894,562,62.8,-0.8,547,15,-21.1,2.7,47,74.1,-32,0.32,20,3.9,28,5.5
Nebraska,5/1/2022,1518,1057,69.6,-0.5,1035,22,-30.8,2.1,72,46.9,-50,0.31,24,2.4,36,3.5
Nevada,5/1/2022,2523,1553,61.5,-2.6,1473,80,17.5,5.2,108,74.2,-28,0.74,42,2.8,78,5.2
New Hampshire,5/1/2022,1158,762,65.8,-2.4,744,18,-10.7,2.3,52,44.4,-34,0.34,20,2.9,29,4.2
New Jersey,5/1/2022,7465,4756,63.7,-0.8,4575,181,-7.0,3.8,281,48.7,-100,0.65,83,2.0,164,3.9
New Mexico,5/1/2022,1673,946,56.6,-1.2,906,40,-21.4,4.2,69,60.5,-29,0.58,24,2.8,36,4.3
New York,5/1/2022,16041,9678,60.3,-0.6,9262,417,1.0,4.3,544,37.7,-127,0.77,167,1.8,344,3.6
North Carolina,5/1/2022,8434,5188,61.5,0.1,5000,188,-1.0,3.6,389,69.9,-201,0.48,147,3.1,219,4.6
North Dakota,5/1/2022,599,413,68.9,-0.4,404,8,-7.0,2.0,31,34.8,-23,0.27,11,2.6,18,4.2
Ohio,5/1/2022,9343,5768,61.7,-1.8,5544,224,-16.4,3.9,404,56.0,-180,0.55,130,2.4,230,4.2
Oklahoma,5/1/2022,3086,1898,61.5,0.7,1842,56,-2.9,3.0,124,59.0,-68,0.45,50,2.9,90,5.3
Oregon,5/1/2022,3461,2163,62.5,1.5,2081,82,10.6,3.8,144,28.6,-62,0.57,53,2.7,80,4.1
Pennsylvania,5/1/2022,10503,6490,61.8,-1.0,6216,274,-8.9,4.2,507,97.3,-233,0.54,157,2.6,201,3.4
Rhode Island,5/1/2022,904,577,63.9,-0.3,559,18,-12.9,3.1,40,73.9,-22,0.45,12,2.4,21,4.2
South Carolina,5/1/2022,4187,2418,57.7,-0.1,2341,76,11.9,3.2,184,76.9,-108,0.41,75,3.3,112,5.0
South Dakota,5/1/2022,692,474,68.5,-0.7,465,9,-23.1,1.9,33,57.1,-24,0.27,14,3.1,18,4.0
Tennessee,5/1/2022,5583,3395,60.8,-0.6,3283,113,-2.3,3.3,274,67.1,-161,0.41,109,3.4,150,4.6
Texas,5/1/2022,22976,14752,64.2,0.3,14184,568,13.2,3.8,1025,93.8,-457,0.55,425,3.2,682,5.1
Utah,5/1/2022,2529,1742,68.9,0.6,1702,40,-0.5,2.3,124,63.2,-84,0.33,47,2.8,71,4.2
Vermont,5/1/2022,541,342,63.2,-2.7,334,8,0.6,2.3,25,56.3,-17,0.31,9,3.0,13,4.3
Virginia,5/1/2022,6825,4415,64.7,-0.9,4303,112,-12.1,2.5,308,44.6,-196,0.36,98,2.4,163,4.0
Washington,5/1/2022,6206,3971,64.0,-1.4,3814,157,4.8,3.9,238,44.2,-81,0.66,78,2.2,120,3.4
West Virginia,5/1/2022,1432,782,54.6,-0.3,751,31,-26.4,4.0,58,31.8,-27,0.54,23,3.3,34,4.8
Wisconsin,5/1/2022,4733,3091,65.3,-0.8,3003,87,-8.7,2.8,218,46.3,-131,0.40,72,2.4,103,3.5
Wyoming,5/1/2022,456,291,63.9,-1.9,281,10,-28.1,3.4,24,41.2,-14,0.41,11,3.9,14,4.9
Alabama,4/1/2022,4011,2278,56.8,-0.4,2220,58,-21.4,2.6,177,78.8,-119,0.33,68,3.2,104,4.9
Alaska,4/1/2022,546,355,65.0,0.5,339,16,-14.8,4.5,31,34.8,-15,0.52,13,4.1,21,6.6
Arizona,4/1/2022,5812,3577,61.5,-0.4,3446,132,-21.9,3.7,252,58.5,-120,0.52,91,2.9,135,4.4
Arkansas,4/1/2022,2371,1362,57.4,-0.5,1318,43,-10.0,3.2,104,79.3,-61,0.42,41,3.2,62,4.9
California,4/1/2022,31170,19265,61.8,-1.2,18441,825,-4.1,4.3,1291,66.4,-466,0.64,477,2.7,660,3.7
Colorado,4/1/2022,4660,3183,68.3,-0.4,3083,100,0.3,3.1,224,80.6,-124,0.45,85,3.0,139,4.8
Connecticut,4/1/2022,2942,1941,66.0,-0.3,1859,82,10.8,4.2,112,60.0,-30,0.74,41,2.5,59,3.5
Delaware,4/1/2022,819,501,61.2,0.1,480,21,23.3,4.2,41,86.4,-20,0.52,17,3.6,25,5.3
District of Columbia,4/1/2022,553,394,71.2,-0.2,375,19,-16.5,4.9,55,66.7,-36,0.35,17,2.2,23,3.0
Florida,4/1/2022,18117,10649,58.8,-0.5,10322,327,5.8,3.1,766,87.7,-439,0.43,316,3.4,422,4.5
Georgia,4/1/2022,8496,5267,62.0,-0.9,5107,160,-15.6,3.0,441,94.3,-281,0.36,187,3.9,262,5.5
Hawaii,4/1/2022,1128,675,59.8,-1.5,653,22,46.6,3.3,41,57.7,-19,0.53,15,2.4,26,4.2
Idaho,4/1/2022,1492,949,63.6,-0.6,923,26,1.1,2.7,64,60.0,-38,0.41,34,4.1,42,5.1
Illinois,4/1/2022,10078,6496,64.5,0.3,6197,299,20.5,4.6,484,85.4,-185,0.62,176,2.9,262,4.4
Indiana,4/1/2022,5345,3389,63.4,-0.8,3288,100,-14.2,3.0,229,53.7,-129,0.44,123,3.9,135,4.2
Iowa,4/1/2022,2510,1698,67.6,-1.5,1654,44,-4.0,2.6,116,56.8,-72,0.38,52,3.3,56,3.6
Kansas,4/1/2022,2260,1510,66.8,-0.3,1470,40,-14.4,2.6,108,54.3,-68,0.37,41,2.9,53,3.8
Kentucky,4/1/2022,3533,2051,58.0,-0.6,1969,81,-4.6,4.0,166,88.6,-85,0.49,71,3.6,101,5.2
Louisiana,4/1/2022,3564,2077,58.3,0.3,2000,77,-21.0,3.7,158,61.2,-81,0.49,64,3.3,92,4.8
Maine,4/1/2022,1152,686,59.6,-2.5,666,20,-11.2,2.9,49,53.1,-29,0.40,17,2.7,27,4.2
Maryland,4/1/2022,4902,3178,64.8,-4.5,3080,98,-14.9,3.1,229,51.7,-131,0.43,75,2.8,125,4.6
Massachusetts,4/1/2022,5780,3784,65.5,-0.9,3647,137,16.2,3.6,301,61.8,-164,0.46,86,2.3,130,3.5
Michigan,4/1/2022,8074,4863,60.2,-1.1,4657,206,10.9,4.2,397,88.2,-191,0.52,137,3.1,184,4.2
Minnesota,4/1/2022,4514,3066,67.9,-2.0,2998,69,-37.6,2.2,250,108.3,-181,0.27,80,2.7,121,4.1
Mississippi,4/1/2022,2286,1267,55.4,-0.6,1219,48,-34.6,3.8,89,64.8,-41,0.54,39,3.4,57,4.9
Missouri,4/1/2022,4865,3045,62.6,-1.4,2970,74,-29.4,2.4,222,77.6,-148,0.33,98,3.4,114,3.9
Montana,4/1/2022,893,561,62.9,-0.8,546,15,-21.9,2.7,48,77.8,-33,0.31,21,4.1,30,5.9
Nebraska,4/1/2022,1517,1056,69.6,-0.5,1035,22,-32.3,2.0,83,69.4,-61,0.26,36,3.5,41,4.0
Nevada,4/1/2022,2520,1544,61.3,-2.9,1464,80,16.8,5.2,118,90.3,-38,0.68,44,3.0,94,6.3
New Hampshire,4/1/2022,1157,761,65.8,-2.5,744,17,-11.8,2.3,54,50.0,-37,0.32,19,2.8,32,4.7
New Jersey,4/1/2022,7461,4742,63.6,-0.9,4548,195,-0.3,4.1,273,44.4,-78,0.71,103,2.4,163,3.9
New Mexico,4/1/2022,1672,947,56.6,-1.2,905,42,-17.3,4.4,71,65.1,-29,0.59,25,3.0,40,4.7
New York,4/1/2022,16044,9677,60.3,-0.6,9245,432,4.6,4.5,594,50.4,-162,0.73,200,2.1,331,3.5
North Carolina,4/1/2022,8421,5181,61.5,0.1,4995,186,-1.9,3.6,392,71.2,-206,0.47,142,3.0,220,4.6
North Dakota,4/1/2022,599,413,69.0,-0.3,404,9,-5.3,2.1,32,39.1,-23,0.27,16,3.8,18,4.2
Ohio,4/1/2022,9340,5764,61.7,-1.8,5542,222,-17.1,3.8,424,63.7,-202,0.52,139,2.5,216,3.9
Oklahoma,4/1/2022,3083,1896,61.5,0.7,1840,56,-4.2,2.9,121,55.1,-65,0.46,54,3.2,103,6.1
Oregon,4/1/2022,3460,2163,62.5,1.5,2082,81,9.3,3.8,146,30.4,-65,0.56,57,2.9,80,4.1
Pennsylvania,4/1/2022,10502,6484,61.7,-1.1,6209,275,-8.7,4.2,455,77.0,-180,0.60,128,2.1,194,3.3
Rhode Island,4/1/2022,903,576,63.8,-0.4,558,18,-13.8,3.1,43,87.0,-25,0.42,13,2.6,22,4.4
South Carolina,4/1/2022,4179,2415,57.8,-0.1,2338,77,12.5,3.2,190,82.7,-113,0.40,77,3.4,104,4.7
South Dakota,4/1/2022,691,474,68.6,-0.6,465,9,-23.8,1.9,33,57.1,-24,0.27,14,3.1,17,3.8
Tennessee,4/1/2022,5575,3396,60.9,-0.5,3283,113,-1.8,3.3,276,68.3,-163,0.41,116,3.6,167,5.2
Texas,4/1/2022,22933,14723,64.2,0.3,14152,572,13.9,3.9,1076,103.4,-504,0.53,435,3.3,652,4.9
Utah,4/1/2022,2524,1738,68.9,0.6,1698,40,-1.7,2.3,121,59.2,-81,0.33,48,2.9,79,4.7
Vermont,4/1/2022,541,341,63.1,-2.7,334,8,-0.2,2.2,26,62.5,-18,0.30,8,2.6,14,4.6
Virginia,4/1/2022,6821,4408,64.6,-1.0,4295,113,-11.5,2.6,321,50.7,-208,0.35,117,2.9,187,4.6
Washington,4/1/2022,6199,3965,64.0,-1.5,3809,156,4.4,3.9,243,47.3,-87,0.64,103,2.9,137,3.9
West Virginia,4/1/2022,1433,783,54.6,-0.3,752,31,-26.1,4.0,63,43.2,-32,0.50,24,3.4,34,4.9
Wisconsin,4/1/2022,4729,3094,65.4,-0.7,3006,88,-7.9,2.9,233,56.4,-145,0.38,90,3.0,100,3.4
Wyoming,4/1/2022,455,290,63.8,-2.1,280,10,-28.7,3.4,26,52.9,-16,0.38,11,3.9,17,6.0
Alabama,3/1/2022,4008,2277,56.8,-0.4,2218,58,-21.4,2.6,164,65.7,-106,0.36,68,3.2,104,5.0
Alaska,3/1/2022,546,355,65.1,0.6,338,17,-11.3,4.7,32,39.1,-15,0.52,14,4.4,20,6.3
Arizona,3/1/2022,5803,3569,61.5,-0.5,3438,130,-22.7,3.7,265,66.7,-135,0.49,134,4.4,158,5.1
Arkansas,3/1/2022,2369,1359,57.4,-0.5,1316,43,-10.4,3.2,101,74.1,-58,0.43,46,3.6,63,5.0
California,3/1/2022,31161,19250,61.8,-1.2,18388,862,0.2,4.5,1328,71.1,-466,0.65,472,2.7,633,3.6
Colorado,3/1/2022,4655,3183,68.4,-0.3,3077,106,5.9,3.3,229,84.7,-123,0.46,92,3.2,133,4.7
Connecticut,3/1/2022,2941,1945,66.1,-0.1,1861,85,13.6,4.3,117,67.1,-32,0.72,34,2.0,62,3.7
Delaware,3/1/2022,817,501,61.3,0.2,479,22,25.3,4.3,42,90.9,-20,0.51,16,3.4,25,5.4
District of Columbia,3/1/2022,553,392,71.0,-0.5,372,20,-11.7,5.2,50,51.5,-30,0.41,16,2.1,25,3.3
Florida,3/1/2022,18075,10620,58.8,-0.6,10280,339,9.7,3.2,834,104.4,-495,0.41,384,4.1,494,5.3
Georgia,3/1/2022,8485,5261,62.0,-0.9,5101,160,-15.4,3.0,432,90.3,-272,0.37,159,3.3,257,5.4
Hawaii,3/1/2022,1129,673,59.6,-1.7,651,22,44.0,3.2,44,69.2,-22,0.49,17,2.8,24,3.9
Idaho,3/1/2022,1489,947,63.6,-0.6,921,26,0.5,2.7,69,72.5,-43,0.37,28,3.4,43,5.2
Illinois,3/1/2022,10080,6493,64.4,0.3,6192,301,21.3,4.6,473,81.2,-172,0.64,148,2.5,262,4.4
Indiana,3/1/2022,5342,3382,63.3,-0.9,3283,99,-15.1,2.9,247,65.8,-148,0.40,104,3.3,153,4.8
Iowa,3/1/2022,2510,1696,67.6,-1.6,1652,45,-3.5,2.6,122,64.9,-77,0.36,40,2.6,67,4.3
Kansas,3/1/2022,2260,1508,66.7,-0.4,1469,39,-15.8,2.6,98,40.0,-59,0.40,35,2.5,52,3.7
Kentucky,3/1/2022,3532,2051,58.1,-0.5,1970,81,-4.8,4.0,219,148.9,-138,0.37,68,3.5,117,6.0
Louisiana,3/1/2022,3565,2076,58.2,0.2,1998,77,-20.2,3.7,155,58.2,-78,0.50,69,3.6,99,5.2
Maine,3/1/2022,1151,687,59.7,-2.4,666,21,-6.6,3.0,51,59.4,-30,0.41,15,2.4,27,4.2
Maryland,3/1/2022,4901,3177,64.8,-4.5,3076,101,-12.7,3.2,252,66.9,-151,0.40,78,2.9,117,4.3
Massachusetts,3/1/2022,5777,3780,65.4,-0.9,3643,137,16.4,3.6,301,61.8,-164,0.46,73,2.0,129,3.5
Michigan,3/1/2022,8072,4857,60.2,-1.2,4648,210,12.8,4.3,354,67.8,-144,0.59,109,2.5,202,4.6
Minnesota,3/1/2022,4512,3067,68.0,-2.0,2996,71,-35.4,2.3,247,105.8,-176,0.29,75,2.6,105,3.6
Mississippi,3/1/2022,2286,1268,55.5,-0.5,1219,49,-33.4,3.8,95,75.9,-46,0.51,43,3.7,58,5.0
Missouri,3/1/2022,4864,3045,62.6,-1.4,2966,79,-25.2,2.6,221,76.8,-142,0.36,74,2.5,100,3.4
Montana,3/1/2022,891,560,62.9,-0.8,545,15,-22.6,2.7,48,77.8,-33,0.31,21,4.1,29,5.7
Nebraska,3/1/2022,1516,1056,69.6,-0.4,1034,21,-32.9,2.0,79,61.2,-58,0.27,26,2.5,40,3.9
Nevada,3/1/2022,2517,1533,60.9,-3.3,1454,79,16.2,5.2,119,91.9,-40,0.67,48,3.3,68,4.6
New Hampshire,3/1/2022,1156,760,65.7,-2.5,742,17,-12.0,2.3,60,66.7,-43,0.29,17,2.5,31,4.5
New Jersey,3/1/2022,7458,4723,63.3,-1.1,4519,205,5.0,4.3,273,44.4,-68,0.75,99,2.3,157,3.7
New Mexico,3/1/2022,1672,947,56.7,-1.2,903,44,-12.5,4.7,69,60.5,-25,0.64,26,3.1,36,4.3
New York,3/1/2022,16048,9665,60.2,-0.7,9223,442,7.2,4.6,639,61.8,-197,0.69,174,1.8,307,3.3
North Carolina,3/1/2022,8410,5174,61.5,0.1,4988,186,-2.0,3.6,451,96.9,-265,0.41,154,3.2,252,5.3
North Dakota,3/1/2022,598,413,69.0,-0.3,404,9,-2.8,2.1,35,52.2,-26,0.25,11,2.6,20,4.7
Ohio,3/1/2022,9338,5758,61.7,-1.8,5536,222,-17.1,3.9,428,65.3,-206,0.52,130,2.4,217,3.9
Oklahoma,3/1/2022,3080,1893,61.4,0.7,1838,55,-5.4,2.9,135,73.1,-80,0.41,59,3.5,87,5.2
Oregon,3/1/2022,3460,2163,62.5,1.5,2082,81,8.9,3.7,160,42.9,-79,0.51,59,3.0,90,4.7
Pennsylvania,3/1/2022,10502,6473,61.6,-1.2,6198,274,-8.8,4.2,505,96.5,-231,0.54,126,2.1,225,3.8
Rhode Island,3/1/2022,903,576,63.8,-0.5,557,18,-13.1,3.2,42,82.6,-24,0.43,14,2.8,23,4.7
South Carolina,3/1/2022,4171,2412,57.8,0.0,2334,77,13.6,3.2,215,106.7,-138,0.36,82,3.7,114,5.1
South Dakota,3/1/2022,690,474,68.6,-0.6,465,9,-23.8,1.9,35,66.7,-26,0.25,12,2.7,20,4.4
Tennessee,3/1/2022,5568,3394,61.0,-0.5,3280,114,-1.4,3.3,306,86.6,-192,0.37,103,3.2,171,5.3
Texas,3/1/2022,22891,14690,64.2,0.3,14110,581,15.7,4.0,1096,107.2,-515,0.53,469,3.5,619,4.7
Utah,3/1/2022,2519,1733,68.8,0.5,1693,40,-2.9,2.3,130,71.1,-90,0.30,66,4.0,82,4.9
Vermont,3/1/2022,541,341,63.0,-2.9,333,8,0.4,2.3,26,62.5,-18,0.30,8,2.6,13,4.3
Virginia,3/1/2022,6818,4399,64.5,-1.1,4285,114,-10.6,2.6,331,55.4,-217,0.34,97,2.4,172,4.3
Washington,3/1/2022,6194,3955,63.9,-1.6,3800,155,3.8,3.9,259,57.0,-104,0.60,123,3.5,144,4.1
West Virginia,3/1/2022,1434,783,54.6,-0.4,751,31,-26.0,4.0,73,65.9,-42,0.43,23,3.3,37,5.3
Wisconsin,3/1/2022,4726,3097,65.5,-0.6,3008,89,-7.0,2.9,221,48.3,-132,0.40,75,2.5,121,4.1
Wyoming,3/1/2022,455,289,63.6,-2.2,280,10,-28.6,3.4,26,52.9,-16,0.38,11,3.9,16,5.6
Alabama,2/1/2022,4007,2274,56.7,-0.5,2215,59,-21.0,2.6,140,41.4,-81,0.42,63,3.0,98,4.7
Alaska,2/1/2022,546,356,65.1,0.7,338,18,-6.1,5.0,32,39.1,-14,0.55,15,4.7,20,6.3
Arizona,2/1/2022,5795,3559,61.4,-0.6,3429,129,-23.2,3.6,250,57.2,-121,0.52,91,3.0,168,5.5
Arkansas,2/1/2022,2368,1356,57.3,-0.6,1313,43,-10.7,3.2,93,60.3,-50,0.46,40,3.2,68,5.4
California,2/1/2022,31156,19255,61.8,-1.2,18331,924,7.5,4.8,1288,66.0,-364,0.72,456,2.6,664,3.8
Colorado,2/1/2022,4651,3184,68.5,-0.2,3068,116,16.1,3.6,206,66.1,-90,0.56,93,3.3,136,4.8
Connecticut,2/1/2022,2940,1950,66.3,0.0,1861,89,19.2,4.5,114,62.9,-25,0.78,39,2.4,64,3.9
Delaware,2/1/2022,816,501,61.3,0.3,478,22,28.0,4.4,38,72.7,-16,0.58,15,3.2,26,5.6
District of Columbia,2/1/2022,552,391,70.7,-0.7,369,22,-6.3,5.5,40,21.2,-18,0.54,17,2.2,22,2.9
Florida,2/1/2022,18037,10589,58.7,-0.6,10235,354,14.5,3.3,720,76.5,-366,0.49,291,3.1,431,4.6
Georgia,2/1/2022,8475,5252,62.0,-0.9,5091,161,-14.8,3.1,440,93.8,-279,0.37,201,4.2,315,6.6
Hawaii,2/1/2022,1129,671,59.5,-1.9,650,21,41.4,3.2,41,57.7,-20,0.52,16,2.6,25,4.1
Idaho,2/1/2022,1486,944,63.5,-0.7,918,26,1.0,2.7,69,72.5,-43,0.38,27,3.3,52,6.3
Illinois,2/1/2022,10085,6487,64.3,0.2,6184,303,22.2,4.7,477,82.8,-174,0.64,157,2.6,266,4.5
Indiana,2/1/2022,5340,3374,63.2,-1.0,3275,99,-15.6,2.9,243,63.1,-144,0.41,105,3.3,135,4.3
Iowa,2/1/2022,2509,1694,67.5,-1.7,1648,46,-1.0,2.7,123,66.2,-77,0.37,40,2.6,59,3.8
Kansas,2/1/2022,2259,1506,66.6,-0.5,1467,39,-16.7,2.6,108,54.3,-69,0.36,34,2.4,52,3.7
Kentucky,2/1/2022,3531,2051,58.1,-0.5,1970,81,-4.5,4.0,168,90.9,-87,0.48,68,3.5,91,4.7
Louisiana,2/1/2022,3566,2073,58.1,0.1,1994,79,-18.2,3.8,149,52.0,-70,0.53,58,3.0,95,5.0
Maine,2/1/2022,1150,688,59.8,-2.2,665,23,2.3,3.3,48,50.0,-25,0.47,17,2.7,29,4.6
Maryland,2/1/2022,4900,3177,64.8,-4.4,3072,105,-9.2,3.3,224,48.3,-119,0.47,67,2.5,128,4.7
Massachusetts,2/1/2022,5775,3778,65.4,-0.9,3637,141,19.5,3.7,309,66.1,-168,0.46,82,2.2,149,4.1
Michigan,2/1/2022,8071,4848,60.1,-1.3,4636,212,14.1,4.4,347,64.5,-135,0.61,114,2.6,190,4.4
Minnesota,2/1/2022,4511,3067,68.0,-2.0,2993,75,-32.1,2.4,229,90.8,-154,0.33,76,2.6,103,3.5
Mississippi,2/1/2022,2286,1268,55.5,-0.5,1218,50,-32.1,3.9,92,70.4,-42,0.54,37,3.2,57,4.9
Missouri,2/1/2022,4863,3045,62.6,-1.4,2960,84,-19.7,2.8,216,72.8,-132,0.39,69,2.4,92,3.2
Montana,2/1/2022,890,559,62.8,-0.9,544,15,-23.0,2.7,48,77.8,-33,0.31,18,3.6,34,6.7
Nebraska,2/1/2022,1515,1055,69.6,-0.5,1033,22,-32.4,2.0,75,53.1,-53,0.29,25,2.4,39,3.8
Nevada,2/1/2022,2515,1523,60.6,-3.6,1444,79,15.7,5.2,118,90.3,-39,0.67,44,3.0,72,4.9
New Hampshire,2/1/2022,1156,758,65.6,-2.7,740,18,-10.8,2.3,60,66.7,-42,0.29,19,2.8,33,4.9
New Jersey,2/1/2022,7456,4710,63.2,-1.3,4488,222,14.0,4.7,295,56.1,-73,0.75,112,2.7,189,4.5
New Mexico,2/1/2022,1672,949,56.8,-1.1,901,48,-5.0,5.1,73,69.8,-25,0.66,24,2.9,41,4.9
New York,2/1/2022,16054,9662,60.2,-0.7,9196,466,13.0,4.8,646,63.5,-180,0.72,187,2.0,347,3.7
North Carolina,2/1/2022,8400,5166,61.5,0.1,4978,188,-1.0,3.6,379,65.5,-191,0.50,158,3.3,247,5.2
North Dakota,2/1/2022,598,413,69.0,-0.3,404,9,0.1,2.2,31,34.8,-22,0.29,12,2.8,17,4.0
Ohio,2/1/2022,9337,5752,61.6,-1.9,5527,224,-16.2,3.9,454,75.3,-230,0.49,163,3.0,216,3.9
Oklahoma,2/1/2022,3078,1888,61.3,0.6,1834,54,-6.4,2.9,124,59.0,-70,0.44,51,3.0,88,5.2
Oregon,2/1/2022,3460,2163,62.5,1.5,2081,82,10.6,3.8,158,41.1,-76,0.52,57,3.0,91,4.7
Pennsylvania,2/1/2022,10504,6457,61.5,-1.3,6182,275,-8.5,4.3,488,89.9,-213,0.56,133,2.2,269,4.5
Rhode Island,2/1/2022,903,575,63.7,-0.5,556,19,-8.9,3.3,42,82.6,-23,0.45,14,2.8,25,5.1
South Carolina,2/1/2022,4164,2406,57.8,-0.1,2328,78,14.3,3.2,180,73.1,-102,0.43,76,3.4,112,5.0
